record - leader,001,008,008 1,008 2,008 3,008 4,008 5,008 6,008 7,008 8,035,040,245,260,310,310 1,310 2,310 2 1,310 2 2,310 3,310 3 1,310 3 2,310 4,310 4 1,310 4 2,310 5,310 6,336,336 1,336 2,336 2 1,336 2 2,336 2 3,336 2 4,336 2 5,337,337 1,337 2,337 2 1,337 2 2,338,338 1,338 2 1,338 2 2,653,653 1,653 2,653 2 3,653 2 4,653 2 5,653 2 6,653 2 7,653 2 1,653 2 2,653 3,264,996,996 1,996 2,996 2 1,996 2 2,996 3,996 3 1,996 3 2,996 4,996 4 1,996 4 2,996 5,996 5 1,996 5 2,996 6,996 7,996 8,998,998 1,998 2,998 3,998 4,998 5,998 6,998 7,650,710,710 1,710 2,710 3,710 3 1,710 3 2,710 3 3,710 3 4,710 3 5,710 3 6,710 3 7,710 3 8,710 4,710 4 1,710 4 2,710 5,710 6,710 7,710 8,710 9,710 10,710 11,710 12,710 13,710 14,710 15,710 16,710 17,710 18,710 19,710 20,710 21,710 22,246,500,500 1,500 2,500 2 1,500 2 2,500 3,500 4,500 5,500 6,500 7,775,022,247,321,580,546,521,900,300,490,700,041,773,981,711,856,110,901,692,250,525,600,983,505,Column 44,Column 45,Column 46,Column 47,Column 48,Column 49,Column 50,Column 51,Column 52,Column 53,Column 54,Column 55,Column 56,Column 57,Column 58
00894nas  2200265u  4500,9.92374013010148E15,020706q19822013be br|p||     0|||a|dut c,020706q19822013be br,p,,0,,,a,Dutch,^$ $ $a(BeLVLBS)002374013LBS01-Aleph^$ $ $a9323232^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9923740130101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aOmtrent Davidsfonds Lint.$ $ $bDurendaal Fotoclub Roeland - Periodiek ledenblad$ $ $63213568,,^$ $ $aBimonthly,^,aBimonthly,,Bimonthly,,,,,,,,,^$ $ $atext$ $ $2rdacontent,,atext$ $ $2rdacontent,text,2rdacontent,,,,^$ $ $aunmediated$ $ $2rdamedia,,aunmediated$ $ $2rdamedia,aunmediated,2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,volume,physical object,^$ $6$aPeriodicals,^,aPeriodicals,,Periodic,ls,,,,Periodicals,,^$ $1$c1982-[2013]^$ $1$aLint$ $ $bDavidsfonds$ $ $31982-[2013],^$ $ $aKADOC$ $ $bphysical$ $ $c201912$ $ $9local,^,aKADOC,,KADOC,bphysical,,physical,c201912,,201912.0,9local,,local,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ax,^,LBS01,bib_200501.mrc.2.ax,,,,,^$ $7$2KUL$ $ $a#BTAB:VH 493 Leuven^$ $7$2KADOC$ $ $aC3$ $ $xKunst en cultuur$ $ $6(ODIS-HT)^$ $7$2UCLL$ $ $aTijdschriften SAW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^$ $ $afrequentie varieert,^,afrequentie varieert,,Frequentie varieert,,,,,,,,^$1$0$aToneelgroep Durendaal$ $ $bDavidsfonds - LINT$ $ $g1982-[1985],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00581nas  2200193u  4500,9.92374020010148E15,020706q19851995be br|p||     0|||a|dut c,020706q19851995be br,p,,0,,,a,Dutch,^$ $ $a(BeLVLBS)002374020LBS01-Aleph^$ $ $a9323246^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9923740200101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aDF-info.,^$ $ $aWaasmunster$ $ $bDavidsfonds$ $ $c1985-[1995],^$ $ $aBimonthly,^,aBimonthly,,Bimonthly,,,,,,,,,^$ $ $atext$ $ $2rdacontent,,atext$ $ $2rdacontent,text,2rdacontent,,,,^$ $ $aunmediated$ $ $2rdamedia,,aunmediated$ $ $2rdamedia,aunmediated,2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,volume,physical object,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ax,^,LBS01,bib_200501.mrc.2.ax,,,,,^$ $7$2KADOC$ $ $aC3$ $ $xKunst en cultuur$ $ $6(ODIS-HT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01080nas  2200265u  4500,9.92378555010148E15,020706q19851995be br|p||     0|||a|dut c,020706q19851995be br,p,,0,,,a,Dutch,^$ $ $a(BeLVLBS)002378555LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9923785550101471$ $ $bLanguage of cataloging varies$ $ $erda based,,^$0$0$aPluizer$ $ $buitneembare katern kinder- en jeugdboekrecensies.$ $ $613071491,^$ $ $c1984-?^$ $ $aLeuven$ $ $bPluralistische organizatie voor bibliotheekgebruik.,^$ $ $aBimonthly,^,aBimonthly,,Bimonthly,,,,,,,,,^$ $ $atext$ $ $2rdacontent,,atext$ $ $2rdacontent,text,2rdacontent,,,,^$ $ $aunmediated$ $ $2rdamedia,,aunmediated$ $ $2rdamedia,aunmediated,2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,volume,physical object,^$ $6$aPeriodicals,^,aPeriodicals,,Periodic,ls,,,,Periodicals,,,,,,,,,,,,,,,,,,,,,,,,,,,,^$ $7$2KADOC$ $ $aC3$ $ $xKunst en cultuur$ $ $6(ODIS-HT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^$ $ $aOndertitel varieert,^,aOndertitel varieert,,Ondertitel varieert,,,,,,,,,,^$ $ $aVerschijnt als zelfstandig tijdschrift t/m 2(1985/86)^$ $ $aBijlage bij : Bib-krant (van 1987 tot 1991/92)^$ $ $aBijlage bij : Klapper: tijdschrift over lezen en informatiegebruik (vanaf 1993),,,,,,,,^$1$8$w(BeLVLBS)001454472LBS01-Aleph$ $ $tBib-krant$ $ $4772^$1$8$w(BeLVLBS)001454472LBS01-Aleph$ $ $tKlapper : tijdschrift over lezen en informatiegebruik$ $ $4772,,,,,,,,,,,,,,,,,,,,,,,,,,
00665nas  2200217u  4500,9.92392935010148E15,020921q19811997be qr|p||     0|||a|dut c,020921q19811997be qr,p,,0,,,a,Dutch,^$ $ $a(BeLVLBS)002392935LBS01-Aleph^$ $ $a9406391^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9923929350101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$3$aDe poemp.,^$ $ $aNijlen$ $ $bHeemkring Davidsfonds$ $ $c1981-[1997],^$ $ $aQuarterly,^,aQuarterly,,Quarterly,,,,,,,,,^$ $ $atext$ $ $2rdacontent,,atext$ $ $2rdacontent,text,2rdacontent,,,,^$ $ $aunmediated$ $ $2rdamedia,,aunmediated$ $ $2rdamedia,aunmediated,2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,volume,physical object,^$ $6$aPeriodicals,^,aPeriodicals,,Periodic,ls,,,,Periodicals,,,,,,,,,,,,,,,,,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ax,^,LBS01,bib_200501.mrc.2.ax,,,,,^$ $7$2KADOC$ $ $aC3$ $ $xKunst en cultuur$ $ $6(ODIS-HT),^$2$ $aHeemkring davidsfonds Nijlen$ $ $4oth,^,aHeemkring davidsfonds Nijlen,4oth,4oth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00712nas  2200217u  4500,9.92397402010148E15,021003q19831992be qr|p||     0|||a|dut c,021003q19831992be qr,p,,0,,,a,Dutch,^$ $ $a(BeLVLBS)002397402LBS01-Aleph^$ $ $a9423690^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9923974020101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aDavids-vondsten.,^$ $ $aPutte$ $ $bDavidsfonds Putte-Grens$ $ $c[1984/85]-[1991/92],^$ $ $aQuarterly$ $ $bQuarterly = Vanaf 1986 5x per jaar,^,aQuarterly,,Quarterly,bQuarterly = Vanaf 1986 5x per jaar,,Quarterly = Vanaf 1986 5x per jaar,,,,,,^$ $ $atext$ $ $2rdacontent,,atext$ $ $2rdacontent,text,2rdacontent,,,,^$ $ $aunmediated$ $ $2rdamedia,,aunmediated$ $ $2rdamedia,aunmediated,2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,volume,physical object,^$ $6$aPeriodicals,^,aPeriodicals,,Periodic,ls,,,,Periodicals,,,,,,,,,,,,,,,,,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ax,^,LBS01,bib_200501.mrc.2.ax,,,,,^$ $7$2KADOC$ $ $aC3$ $ $xKunst en cultuur$ $ $6(ODIS-HT),^$2$ $aDavidsfonds Putte-Grens$ $ $4oth,^,aDavidsfonds Putte-Grens,4oth,4oth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00682nas  2200217u  4500,9.92397412010148E15,021003q19821992be ur|p||     0|||a|dut c,021003q19821992be ur,p,,0,,,a,Dutch,^$ $ $a(BeLVLBS)002397412LBS01-Aleph^$ $ $a9423717^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9923974120101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aDaforum.$ $ $bkontaktblad van het Davidsfonds Rumst.,^$ $ $aRumst$ $ $bDavidsfonds$ $ $c[1982]-[1992],^$ $ $aUnknown,^,aUnknown,,Unknown,,,,,,,,,^$ $ $atext$ $ $2rdacontent,,atext$ $ $2rdacontent,text,2rdacontent,,,,^$ $ $aunmediated$ $ $2rdamedia,,aunmediated$ $ $2rdamedia,aunmediated,2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,volume,physical object,^$ $6$aPeriodicals,^,aPeriodicals,,Periodic,ls,,,,Periodicals,,,,,,,,,,,,,,,,,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ax,^,LBS01,bib_200501.mrc.2.ax,,,,,^$ $7$2KADOC$ $ $aC3$ $ $xKunst en cultuur$ $ $6(ODIS-HT),^$2$ $aDavidsfonds Rumst$ $ $4oth,^,aDavidsfonds Rumst,4oth,4oth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00801nas  2200217u  4500,9.92397569010148E15,021003q19821997xx mr|p||     0|||a|dut c,021003q19821997xx mr,p,,0,,,a,Dutch,^$ $ $a(BeLVLBS)002397569LBS01-Aleph^$ $ $a9424417^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9923975690101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aSinjaaltje$ $ $bledenblad van Davidsfonds Sint-Lambrechts-Woluwe.,^$ $ $aSint-Lambrechts-Woluwe$ $ $bDavidsfonds. Sint-Lambrechts-Woluwe.$ $ $c1982-[1997],^$ $ $aMonthly$ $ $bverschijnt 10 x per jaar,^,aMonthly,,Monthly,bverschijnt 10 x per jaar,,verschijnt 10 x per jaar,,,,,,niet in juli-augustus,niet in juli-augustus,,,,,,,^$ $ $atext$ $ $2rdacontent,,atext$ $ $2rdacontent,atext,2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,,aunmediated,2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^,avolume,,volume,,,,,volume,2rdacarrier,^$ $6$aPeriodicals,,,,,,,,,,,,,,,,,,^$ $ $aKADOC$ $ $bphysical$ $ $c201506$ $ $9local,^,KADOC,physical,201506.0,local,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ax,^$ $7$2KADOC$ $ $aC3$ $ $xKunst en cultuur$ $ $6(ODIS-HT),^,2KADOC,aC3,,C3,,,,,,,xKunst en cultuur,,Kunst en cultuur,6(ODIS-HT),,,,,,,,,,,,,,,,,,^$2$ $aDavidsfonds Sint-Lambrechts-Woluwe$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00631nas  2200205u  4500,9.92397587010148E15,021004q19831997be br|p||     0|||a|dut c,021004q19831997be br,p,,0,,,a,Dutch,^$ $ $a(BeLVLBS)002397587LBS01-Aleph^$ $ $a9424490^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9923975870101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$4$aHet mosterdpotje.,^$ $ $aSteendorp$ $ $bDavidsfonds$ $ $c1983-[1997],^$ $ $aBimonthly,^,aBimonthly,,Bimonthly,,,,,,,,,^$ $ $atext$ $ $2rdacontent,,atext$ $ $2rdacontent,text,2rdacontent,,,,^$ $ $aunmediated$ $ $2rdamedia,,aunmediated$ $ $2rdamedia,aunmediated,2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,volume,physical object,,,,,,,,,,,,,^$ $ $aKADOC$ $ $bphysical$ $ $c201506$ $ $9local,^,aKADOC,,KADOC,bphysical,,physical,c201506,,201506.0,9local,,local,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ax,^,LBS01,bib_200501.mrc.2.ax,,,,,^$ $7$2KADOC$ $ $aC3$ $ $xKunst en cultuur$ $ $6(ODIS-HT),^$2$ $aDavidsfonds Steendorp$ $ $4oth,^,aDavidsfonds Steendorp,4oth,4oth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00672nas  2200217u  4500,9.92397611010148E15,021004q19841997be qr|p||     0|||a|dut c,021004q19841997be qr,p,,0,,,a,Dutch,^$ $ $a(BeLVLBS)002397611LBS01-Aleph^$ $ $a9424591^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9923976110101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aDF-info.,^$ $ $aSint-Kwintens-Lennik$ $ $bDavidsfonds$ $ $c1984-[1997],^$ $ $aQuarterly,^,aQuarterly,,Quarterly,,,,,,,,,^$ $ $atext$ $ $2rdacontent,,atext$ $ $2rdacontent,text,2rdacontent,,,,^$ $ $aunmediated$ $ $2rdamedia,,aunmediated$ $ $2rdamedia,aunmediated,2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,volume,physical object,^$ $6$aPeriodicals,^,aPeriodicals,,Periodic,ls,,,,Periodicals,,,^$ $ $aKADOC$ $ $bphysical$ $ $c201506$ $ $9local,^,aKADOC,,KADOC,bphysical,,physical,c201506,,201506.0,9local,,local,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ax,^,LBS01,bib_200501.mrc.2.ax,,,,,^$ $7$2KADOC$ $ $aC3$ $ $xKunst en cultuur$ $ $6(ODIS-HT),^$2$ $aDavidsfonds Sint-Kwintens-Lennik$ $ $4oth,^,aDavidsfonds Sint-Kwintens-Lennik,4oth,4oth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00631nas  2200205u  4500,9.92397617010148E15,021004q19821999be qr|p||     0|||a|dut c,021004q19821999be qr,p,,0,,,a,Dutch,^$ $ $a(BeLVLBS)002397617LBS01-Aleph^$ $ $a9424608^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9923976170101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aGoedendag nieuws.,^$ $ $aWaarloos$ $ $bDavidsfonds$ $ $c[1982]-[1999],^$ $ $aQuarterly,^,aQuarterly,,Quarterly,,,,,,,,,^$ $ $atext$ $ $2rdacontent,,atext$ $ $2rdacontent,text,2rdacontent,,,,^$ $ $aunmediated$ $ $2rdamedia,,aunmediated$ $ $2rdamedia,aunmediated,2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,volume,physical object,,,,,,,,,,,,,^$ $ $aKADOC$ $ $bphysical$ $ $c201506$ $ $9local,^,aKADOC,,KADOC,bphysical,,physical,c201506,,201506.0,9local,,local,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ax,^,LBS01,bib_200501.mrc.2.ax,,,,,^$ $7$2KADOC$ $ $aC3$ $ $xKunst en cultuur$ $ $6(ODIS-HT),^$2$ $aDavidsfonds Waarloos$ $ $4oth,^,aDavidsfonds Waarloos,4oth,4oth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00806nas  2200241u  4500,9.92397628010148E15,021004q19852009be mr|p||     0|||a|dut c,021004q19852009be mr,p,,0,,,a,Dutch,^$ $ $a(BeLVLBS)002397628LBS01-Aleph^$ $ $a9424642^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9923976280101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aWestkapelle leeft,^$ $ $aWestkapelle$ $ $bDavidsfonds,VAB,VAB,,,,,,,,,,,,VTB Westkappelle$ $ $c1985-[2009],VTB Westkappelle$ $ $c1985-[2009],,,,,,,^$ $ $aMonthly,,aMonthly,aMonthly,,^$ $ $atext$ $ $2rdacontent,,atext,2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^,aunmediated,,unmedi,ted,,,,unmediated,2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^,aPeriodicals,,Periodicals,,,,,,,,,,,,,,,,,,,,,^$ $ $aKADOC$ $ $bphysical$ $ $c201505$ $ $9local,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ax,^,aLBS01,bbib_200501.mrc.2.ax,bbib_200501.mrc.2.,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,^$ $7$2KADOC$ $ $aC3$ $ $xKunst en cultuur$ $ $6(ODIS-HT),^$2$ $aDavidsfonds Westkapelle$ $ $4oth,^,aDavidsfonds Westkapelle,,Davidsfonds Westkapelle,4oth,,,,,,,,,^$1$0$a't Westkapellenaartje$ $ $bmededelingenblad van D.F.-V.A.B.-V.T.B Westkappelle$ $ $g1985-1999,,,,,,,,,^$ $ $adut,,,,,,,,,,,,,,,,,,,,,,,,,
00627nas  2200205u  4500,9.92397633010148E15,021004q19831997be mr|p||     0|||a|dut c,021004q19831997be mr,p,,0,,,a,Dutch,^$ $ $a(BeLVLBS)002397633LBS01-Aleph^$ $ $a9424657^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9923976330101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$3$aDe belleman.,^$ $ $aVarsenare$ $ $bDavidsfonds$ $ $c1983/84-[1997],^$ $ $aMonthly,^,aMonthly,,Monthly,,,,,,,,,^$ $ $atext$ $ $2rdacontent,,atext$ $ $2rdacontent,text,2rdacontent,,,,^$ $ $aunmediated$ $ $2rdamedia,,aunmediated$ $ $2rdamedia,aunmediated,2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,volume,physical object,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ax,^,LBS01,bib_200501.mrc.2.ax,,,,,^$ $7$2KADOC$ $ $aC3$ $ $xKunst en cultuur$ $ $6(ODIS-HT),^$2$ $aDavidsfonds Varsenare$ $ $4oth,^,aDavidsfonds Varsenare,4oth,4oth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00648nas  2200217u  4500,9.92397685010148E15,021004q19811986be br|p||     0|||a|dut c,021004q19811986be br,p,,0,,,a,Dutch,^$ $ $a(BeLVLBS)002397685LBS01-Aleph^$ $ $a9424898^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9923976850101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aBerichten.,^$ $ $aTernat$ $ $bDavidsfonds$ $ $c[1981]-[1986],^$ $ $aBimonthly,^,aBimonthly,,Bimonthly,,,,,,,,,^$ $ $atext$ $ $2rdacontent,,atext$ $ $2rdacontent,text,2rdacontent,,,,^$ $ $aunmediated$ $ $2rdamedia,,aunmediated$ $ $2rdamedia,aunmediated,2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,volume,physical object,^$ $6$aPeriodicals,^,aPeriodicals,,Periodic,ls,,,,Periodicals,,,,,,,,,,,,,,,,,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ax,^,LBS01,bib_200501.mrc.2.ax,,,,,^$ $7$2KADOC$ $ $aC3$ $ $xKunst en cultuur$ $ $6(ODIS-HT),^$2$ $aDavidsfonds Ternat$ $ $4oth,^,aDavidsfonds Ternat,4oth,4oth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00612nas  2200205u  4500,9.92397691010148E15,021004q19811986be br|p||     0|||a|dut c,021004q19811986be br,p,,0,,,a,Dutch,^$ $ $a(BeLVLBS)002397691LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9923976910101471$ $ $bLanguage of cataloging varies$ $ $erda based,,^$0$0$aKribbels$ $ $bledentijdschrift,,^$ $ $aQuarterly,^,aQuarterly,,Quarterly,,,,,,,,,^$ $ $atext$ $ $2rdacontent,,atext$ $ $2rdacontent,text,2rdacontent,,,,^$ $ $aunmediated$ $ $2rdamedia,,aunmediated$ $ $2rdamedia,aunmediated,2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,volume,physical object,^$ $6$aPeriodicals,^,aPeriodicals,,Periodic,ls,,,,Periodicals,,^$ $1$c1983-[1994]^$ $1$aTremelo$ $ $bDavidsfonds,^$ $ $aKADOC$ $ $bphysical$ $ $c201911$ $ $9local,^,aKADOC,,KADOC,bphysical,,physical,c201911,,201911.0,9local,,local,,,,,,,,,,,,^$ $7$2KADOC$ $ $aC3$ $ $xKunst en cultuur$ $ $6(ODIS-HT),^$2$ $aDavidsfonds Tremelo$ $ $4oth,^,aDavidsfonds Tremelo,4oth,4oth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00636nas  2200205u  4500,9.92397695010148E15,021004q19851997be mr|p||     0|||a|dut c,021004q19851997be mr,p,,0,,,a,Dutch,^$ $ $a(BeLVLBS)002397695LBS01-Aleph^$ $ $a9424945^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9923976950101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$3$aDe veerman.,^$ $ $aSint-Andries-Brugge$ $ $bDavidsfonds$ $ $c1985-[1997],^$ $ $aMonthly,^,aMonthly,,Monthly,,,,,,,,,^$ $ $atext$ $ $2rdacontent,,atext$ $ $2rdacontent,text,2rdacontent,,,,^$ $ $aunmediated$ $ $2rdamedia,,aunmediated$ $ $2rdamedia,aunmediated,2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,volume,physical object,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ax,^,LBS01,bib_200501.mrc.2.ax,,,,,^$ $7$2KADOC$ $ $aC3$ $ $xKunst en cultuur$ $ $6(ODIS-HT),^$2$ $aDavidsfonds Sint-Andries$ $ $4oth,^,aDavidsfonds Sint-Andries,4oth,4oth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00624nas  2200205u  4500,9.92397710010148E15,021004q19839999be ur|p||     0|||a|dut c,021004q19839999be ur,p,,0,,,a,Dutch,^$ $ $a(BeLVLBS)002397710LBS01-Aleph^$ $ $a9425026^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9923977100101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aVinkeslag.,^$ $ $aWuustwezel$ $ $bDavidsfonds$ $ $c[1983-84]-?,^$ $ $aUnknown,^,aUnknown,,Unknown,,,,,,,,,^$ $ $atext$ $ $2rdacontent,,atext$ $ $2rdacontent,text,2rdacontent,,,,^$ $ $aunmediated$ $ $2rdamedia,,aunmediated$ $ $2rdamedia,aunmediated,2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,volume,physical object,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ax,^,LBS01,bib_200501.mrc.2.ax,,,,,^$ $7$2KADOC$ $ $aC3$ $ $xKunst en cultuur$ $ $6(ODIS-HT),^$2$ $aDavidsfonds Wuustwezel$ $ $4oth,^,aDavidsfonds Wuustwezel,4oth,4oth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00663nas  2200217u  4500,9.92397718010148E15,021004q19811985be ur|p||     0|||a|dut c,021004q19811985be ur,p,,0,,,a,Dutch,^$ $ $a(BeLVLBS)002397718LBS01-Aleph^$ $ $a9425057^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9923977180101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aTamboer.,^$ $ $aS.l.$ $ $bDavidsfonds Veerle-Laakdal$ $ $c1981-[1985],^$ $ $aUnknown,^,aUnknown,,Unknown,,,,,,,,,^$ $ $atext$ $ $2rdacontent,,atext$ $ $2rdacontent,text,2rdacontent,,,,^$ $ $aunmediated$ $ $2rdamedia,,aunmediated$ $ $2rdamedia,aunmediated,2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,volume,physical object,^$ $6$aPeriodicals,^,aPeriodicals,,Periodic,ls,,,,Periodicals,,,,,,,,,,,,,,,,,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ax,^,LBS01,bib_200501.mrc.2.ax,,,,,^$ $7$2KADOC$ $ $aC3$ $ $xKunst en cultuur$ $ $6(ODIS-HT),^$2$ $aDavidsfonds Veerle-Laakdal$ $ $4oth,^,aDavidsfonds Veerle-Laakdal,4oth,4oth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
